5,534165.351,3378667.499,19.315,
6,534170.147,3378667.484,19.297,
7,534177.531,3378667.470,19.314,
8,534179.640,3378666.024,19.330,
9,534182.296,3378664.057,19.331,
10,534181.770,3378662.082,19.315,
11,534174.757,3378658.207,19.259,
12,534170.064,3378655.476,19.222,
13,534160.541,3378649.816,19.161,
14,534154.753,3378646.338,19.120,
15,534146.139,3378646.362,19.105,
16,534134.129,3378646.375,19.090,
17,534123.717,3378646.392,19.070,
18,534113.562,3378646.394,19.085,
19,534109.961,3378648.586,19.083,
20,534102.736,3378652.858,19.136,
21,534097.234,3378656.086,19.164,
22,534093.380,3378658.339,19.179,
23,534085.909,3378662.627,19.200,
24,534085.597,3378663.712,19.228,
25,534087.088,3378664.838,19.224,
26,534088.944,3378666.120,19.229,
27,534091.106,3378667.522,19.214,
28,534097.445,3378667.530,19.220,
29,534102.677,3378667.525,19.203,
30,534115.139,3378667.504,19.197,
31,534129.343,3378667.535,19.215,
32,534138.554,3378667.547,19.208,
33,534148.959,3378667.518,19.229,
34,534156.957,3378667.507,19.253,
35,534161.753,3378667.497,19.256,
36,534168.688,3378662.137,19.282,
37,534169.802,3378662.079,19.281,
38,534169.971,3378661.880,19.280,
39,534169.846,3378661.617,19.280,
40,534169.080,3378661.110,19.277,
41,534164.266,3378658.173,19.225,
42,534160.693,3378656.004,19.188,
43,534157.352,3378653.993,19.173,
44,534154.780,3378652.595,19.160,
45,534152.940,3378651.772,19.147,
46,534150.929,3378651.743,19.141,
47,534144.535,3378651.754,19.124,
48,534134.117,3378651.759,19.117,
49,534126.111,3378651.782,19.100,
50,534117.729,3378651.799,19.116,
51,534115.653,3378651.802,19.120,
52,534113.712,3378652.548,19.128,
53,534111.290,3378653.689,19.132,
54,534108.909,3378655.050,19.144,
55,534106.944,3378656.250,19.139,
56,534104.518,3378657.830,19.149,
57,534102.503,3378659.177,19.163,
58,534099.710,3378661.045,19.174,
59,534098.537,3378661.852,19.172,
60,534098.419,3378662.079,19.182,
61,534098.593,3378662.255,19.183,
62,534100.107,3378662.259,19.174,
63,534103.315,3378662.250,19.170,
64,534106.919,3378662.259,19.172,
65,534114.126,3378662.252,19.159,
66,534124.139,3378662.233,19.161,
67,534134.530,3378662.208,19.171,
68,534142.141,3378662.201,19.177,
69,534148.553,3378662.187,19.194,
70,534156.956,3378662.150,19.227,
71,534163.350,3378662.137,19.257,
72,534166.924,3378662.120,19.274,

